ano,mes,data,regiao,uf,setor,tipo_ataque,vulnerabilidade,incidentes,impacto_financeiro,tempo_recuperacao,sistemas_afetados,nivel_criticidade,status_resposta
2015,2,2015-02-01,Sudeste,RJ,Educação,Ransomware,Sistema desatualizado,3,24677.31,98.2,78,Baixo,Em análise
2015,2,2015-02-01,Sudeste,RJ,Varejo,Vazamento,Falha humana,9,540896.4,5.3,58,Baixo,Em análise
2015,2,2015-02-01,Sudeste,RJ,Governo,Malware,Falha humana,12,1323339.61,119.3,7,Alto,Resolvido
2015,2,2015-02-01,Sudeste,RJ,Governo,DDoS,Senha fraca,11,1833854.09,80.5,67,Baixo,Em análise
2015,2,2015-02-01,Sudeste,MG,Financeiro,Ransomware,Falha humana,9,1868057.59,37.0,52,Alto,Resolvido
2015,2,2015-02-01,Sudeste,MG,Governo,Vazamento,Sem MFA,18,741675.35,97.7,41,Alto,Resolvido
2015,2,2015-02-01,Sudeste,MG,Saúde,DDoS,Sem MFA,10,622599.28,75.7,74,Médio,Resolvido
2015,2,2015-02-01,Sudeste,ES,Financeiro,DDoS,Sistema desatualizado,12,169832.72,99.6,78,Baixo,Resolvido
2015,2,2015-02-01,Sudeste,ES,Educação,DDoS,Senha fraca,7,163509.45,69.6,54,Médio,Mitigado
2015,2,2015-02-01,Sudeste,ES,Varejo,Ransomware,Sistema desatualizado,9,520900.18,81.0,16,Crítico,Resolvido
2015,2,2015-02-01,Sul,PR,Saúde,Vazamento,Senha fraca,8,800659.1,27.8,36,Alto,Mitigado
2015,2,2015-02-01,Sul,PR,Saúde,Phishing,Sem MFA,7,1403523.59,118.6,63,Crítico,Em análise
2015,2,2015-02-01,Sul,SC,Saúde,Vazamento,Falha humana,15,1260413.72,70.0,54,Alto,Em análise
2015,2,2015-02-01,Sul,SC,Saúde,Vazamento,Sem MFA,15,259700.36,46.1,78,Alto,Em análise
2015,2,2015-02-01,Sul,RS,Financeiro,Ransomware,Falha humana,15,751498.13,21.9,5,Crítico,Em análise
2015,2,2015-02-01,Sul,RS,Educação,DDoS,Senha fraca,15,1628433.28,65.9,30,Médio,Em análise
2015,3,2015-03-01,Norte,AM,Governo,Vazamento,Senha fraca,19,274776.17,80.6,31,Crítico,Mitigado
2015,3,2015-03-01,Norte,PA,Varejo,Malware,Sem MFA,19,250287.17,91.4,18,Baixo,Mitigado
2015,3,2015-03-01,Norte,PA,Governo,Vazamento,Senha fraca,10,1475481.71,117.5,75,Crítico,Resolvido
2015,3,2015-03-01,Norte,RO,Educação,Vazamento,Sem MFA,11,1975379.08,119.9,67,Médio,Resolvido
2015,3,2015-03-01,Norte,TO,Governo,Malware,Falha humana,9,1608341.6,71.7,40,Baixo,Em análise
2015,3,2015-03-01,Nordeste,BA,Educação,DDoS,Senha fraca,11,1113954.43,79.9,78,Crítico,Em análise
2015,3,2015-03-01,Nordeste,BA,Varejo,Ransomware,Falha humana,18,442083.52,117.7,28,Médio,Resolvido
2015,3,2015-03-01,Nordeste,PE,Governo,Vazamento,Senha fraca,5,1240595.51,112.0,76,Baixo,Em análise
2015,3,2015-03-01,Nordeste,PE,Governo,Phishing,Sistema desatualizado,7,920152.33,90.9,52,Alto,Em análise
2015,3,2015-03-01,Nordeste,CE,Saúde,Malware,Sem MFA,16,964424.51,58.1,5,Baixo,Resolvido
2015,3,2015-03-01,Nordeste,CE,Educação,Vazamento,Senha fraca,9,1840271.38,21.6,75,Crítico,Mitigado
2015,3,2015-03-01,Nordeste,MA,Governo,Phishing,Senha fraca,10,1180792.19,35.1,30,Alto,Resolvido
2015,3,2015-03-01,Nordeste,PB,Financeiro,Ransomware,Senha fraca,5,306031.22,6.9,27,Crítico,Em análise
2015,3,2015-03-01,Centro-Oeste,DF,Educação,Vazamento,Sem MFA,16,1549026.01,47.4,79,Baixo,Mitigado
2015,3,2015-03-01,Centro-Oeste,GO,Governo,Phishing,Falha humana,16,1570315.17,60.1,10,Crítico,Mitigado
2015,3,2015-03-01,Centro-Oeste,GO,Financeiro,DDoS,Falha humana,13,51923.94,67.1,52,Baixo,Em análise
2015,3,2015-03-01,Centro-Oeste,MT,Governo,DDoS,Falha humana,15,1001274.72,16.2,65,Crítico,Mitigado
2015,3,2015-03-01,Centro-Oeste,MS,Financeiro,Vazamento,Sem MFA,18,1907170.16,37.7,69,Médio,Mitigado
2015,3,2015-03-01,Sudeste,SP,Educação,Malware,Falha humana,9,1178513.01,35.2,46,Médio,Mitigado
2015,3,2015-03-01,Sudeste,SP,Financeiro,Malware,Falha humana,11,875713.82,69.0,71,Médio,Resolvido
2015,3,2015-03-01,Sudeste,SP,Educação,Ransomware,Sistema desatualizado,14,1677631.8,108.5,69,Baixo,Mitigado
2015,3,2015-03-01,Sudeste,RJ,Financeiro,Ransomware,Sistema desatualizado,13,519406.64,56.2,15,Médio,Mitigado
2015,3,2015-03-01,Sudeste,RJ,Saúde,Vazamento,Sem MFA,10,1926755.87,12.2,27,Crítico,Resolvido
2015,3,2015-03-01,Sudeste,RJ,Varejo,DDoS,Sistema desatualizado,8,1875992.05,116.8,70,Baixo,Mitigado
2015,3,2015-03-01,Sudeste,RJ,Educação,Phishing,Falha humana,10,1011714.68,59.2,68,Baixo,Mitigado
2015,3,2015-03-01,Sudeste,MG,Educação,DDoS,Sem MFA,9,1706600.59,105.9,48,Crítico,Em análise
2015,3,2015-03-01,Sudeste,MG,Governo,DDoS,Falha humana,5,1269754.56,89.5,49,Alto,Em análise
2015,3,2015-03-01,Sudeste,MG,Educação,DDoS,Falha humana,16,690543.96,19.9,1,Baixo,Mitigado
2015,3,2015-03-01,Sudeste,ES,Financeiro,Malware,Senha fraca,20,869437.87,106.9,73,Alto,Resolvido
2015,3,2015-03-01,Sudeste,ES,Varejo,Malware,Senha fraca,14,184259.86,10.9,64,Crítico,Em análise
2015,3,2015-03-01,Sudeste,ES,Saúde,Malware,Senha fraca,10,1774239.97,78.0,76,Crítico,Em análise
2015,3,2015-03-01,Sul,PR,Governo,Phishing,Sistema desatualizado,9,379447.66,11.3,47,Crítico,Resolvido
2015,3,2015-03-01,Sul,PR,Saúde,Ransomware,Senha fraca,13,1921934.4,12.0,67,Médio,Em análise
2015,3,2015-03-01,Sul,SC,Educação,Vazamento,Sem MFA,11,1904233.71,10.7,22,Crítico,Em análise
2015,3,2015-03-01,Sul,SC,Varejo,Ransomware,Falha humana,10,804894.75,118.9,30,Crítico,Mitigado
2015,3,2015-03-01,Sul,RS,Saúde,DDoS,Falha humana,7,1959135.17,28.7,18,Alto,Mitigado
2015,3,2015-03-01,Sul,RS,Educação,Ransomware,Sistema desatualizado,14,946728.77,36.5,33,Baixo,Em análise
2015,4,2015-04-01,Norte,AM,Saúde,Phishing,Sem MFA,11,268961.75,117.7,42,Alto,Resolvido
2015,4,2015-04-01,Norte,PA,Financeiro,Ransomware,Sistema desatualizado,14,467738.41,107.8,39,Baixo,Mitigado
2015,4,2015-04-01,Norte,PA,Educação,Malware,Sistema desatualizado,13,965797.0,82.5,21,Médio,Mitigado
2015,4,2015-04-01,Norte,RO,Educação,Malware,Sistema desatualizado,11,1239605.23,50.6,26,Baixo,Em análise
2015,4,2015-04-01,Norte,TO,Financeiro,DDoS,Sistema desatualizado,12,1025418.0,75.9,6,Médio,Mitigado
2015,4,2015-04-01,Nordeste,BA,Saúde,Malware,Sem MFA,11,1180541.89,3.3,64,Médio,Mitigado
2015,4,2015-04-01,Nordeste,BA,Financeiro,Malware,Senha fraca,10,770960.24,98.6,32,Baixo,Resolvido
2015,4,2015-04-01,Nordeste,PE,Governo,Phishing,Sistema desatualizado,12,1747541.53,65.6,61,Alto,Resolvido
2015,4,2015-04-01,Nordeste,PE,Saúde,Phishing,Senha fraca,14,1652273.89,54.7,55,Alto,Mitigado
2015,4,2015-04-01,Nordeste,CE,Varejo,Vazamento,Sem MFA,10,1105020.08,10.8,14,Crítico,Em análise
2015,4,2015-04-01,Nordeste,CE,Varejo,Vazamento,Falha humana,15,841615.13,42.7,67,Médio,Em análise
2015,4,2015-04-01,Nordeste,MA,Educação,Vazamento,Sem MFA,8,998983.69,41.1,73,Baixo,Resolvido
2015,4,2015-04-01,Nordeste,PB,Governo,Vazamento,Sem MFA,17,1663123.85,83.2,61,Médio,Mitigado
2015,4,2015-04-01,Centro-Oeste,DF,Varejo,Ransomware,Sem MFA,9,770392.07,16.6,12,Alto,Mitigado
2015,4,2015-04-01,Centro-Oeste,GO,Saúde,Phishing,Sem MFA,9,1335402.91,83.8,73,Baixo,Resolvido
2015,4,2015-04-01,Centro-Oeste,GO,Saúde,DDoS,Sistema desatualizado,14,179971.93,86.5,34,Alto,Mitigado
2015,4,2015-04-01,Centro-Oeste,MT,Educação,Phishing,Sem MFA,10,1202379.54,92.3,63,Baixo,Resolvido
2015,4,2015-04-01,Centro-Oeste,MS,Saúde,Malware,Senha fraca,9,712584.32,84.7,72,Médio,Em análise
2015,4,2015-04-01,Sudeste,SP,Varejo,Ransomware,Senha fraca,11,518787.75,92.0,6,Crítico,Em análise
2015,4,2015-04-01,Sudeste,SP,Financeiro,Malware,Sistema desatualizado,13,54359.51,9.9,62,Crítico,Em análise
2015,4,2015-04-01,Sudeste,SP,Financeiro,Phishing,Sem MFA,16,1272081.21,44.2,77,Crítico,Mitigado
2015,4,2015-04-01,Sudeste,RJ,Varejo,Malware,Senha fraca,13,1049545.22,70.3,41,Baixo,Em análise
2015,4,2015-04-01,Sudeste,RJ,Saúde,Ransomware,Sem MFA,13,1270861.1,93.7,1,Crítico,Resolvido
2015,4,2015-04-01,Sudeste,RJ,Varejo,Ransomware,Sistema desatualizado,11,1728070.31,89.1,44,Médio,Em análise
2015,4,2015-04-01,Sudeste,RJ,Educação,Ransomware,Senha fraca,7,1477553.91,17.7,64,Baixo,Resolvido
2015,4,2015-04-01,Sudeste,MG,Governo,DDoS,Falha humana,11,641195.26,92.8,20,Alto,Mitigado
2015,4,2015-04-01,Sudeste,MG,Varejo,DDoS,Sistema desatualizado,13,775787.72,99.3,29,Baixo,Em análise
2015,4,2015-04-01,Sudeste,MG,Governo,Vazamento,Senha fraca,12,1270969.34,111.4,78,Crítico,Mitigado
2015,4,2015-04-01,Sudeste,ES,Saúde,Vazamento,Senha fraca,12,1299689.66,62.8,61,Baixo,Resolvido
2015,4,2015-04-01,Sudeste,ES,Saúde,Malware,Sistema desatualizado,12,601123.77,119.2,76,Baixo,Em análise
2015,4,2015-04-01,Sudeste,ES,Educação,DDoS,Senha fraca,15,290035.7,62.3,25,Baixo,Resolvido
2015,4,2015-04-01,Sul,PR,Educação,DDoS,Sem MFA,10,1990637.75,32.3,75,Baixo,Resolvido
2015,4,2015-04-01,Sul,PR,Varejo,Malware,Sistema desatualizado,13,1823809.1,79.9,6,Médio,Resolvido
2015,4,2015-04-01,Sul,SC,Governo,Vazamento,Senha fraca,11,1622053.48,19.7,51,Crítico,Em análise
2015,4,2015-04-01,Sul,SC,Varejo,DDoS,Falha humana,7,1702195.0,93.3,55,Baixo,Resolvido
2015,4,2015-04-01,Sul,RS,Educação,Ransomware,Falha humana,9,1654965.71,18.9,30,Médio,Em análise
2015,4,2015-04-01,Sul,RS,Governo,Phishing,Falha humana,9,1067245.08,87.9,4,Baixo,Resolvido
2015,5,2015-05-01,Norte,AM,Educação,DDoS,Sistema desatualizado,15,1583405.67,16.6,55,Crítico,Em análise
2015,5,2015-05-01,Norte,PA,Educação,DDoS,Sistema desatualizado,12,1723683.75,97.3,60,Médio,Resolvido
2015,5,2015-05-01,Norte,PA,Varejo,Phishing,Sem MFA,10,287707.57,32.6,29,Crítico,Mitigado
2015,5,2015-05-01,Norte,RO,Educação,Phishing,Falha humana,16,1160783.29,22.5,56,Baixo,Resolvido
2015,5,2015-05-01,Norte,TO,Saúde,Ransomware,Senha fraca,14,449645.4,20.6,79,Alto,Resolvido
2015,5,2015-05-01,Nordeste,BA,Governo,Ransomware,Falha humana,6,1389953.5,94.0,60,Baixo,Em análise
2015,5,2015-05-01,Nordeste,BA,Varejo,Vazamento,Senha fraca,16,890527.78,61.7,7,Médio,Mitigado
2015,5,2015-05-01,Nordeste,PE,Varejo,Ransomware,Sistema desatualizado,10,589043.62,29.0,49,Baixo,Em análise
2015,5,2015-05-01,Nordeste,PE,Governo,Malware,Falha humana,11,1847183.08,119.8,12,Crítico,Mitigado
2015,5,2015-05-01,Nordeste,CE,Saúde,Malware,Sem MFA,19,913930.92,81.6,72,Baixo,Resolvido
2015,5,2015-05-01,Nordeste,CE,Governo,Vazamento,Sistema desatualizado,11,1739859.45,59.4,14,Crítico,Mitigado
2015,5,2015-05-01,Nordeste,MA,Saúde,Vazamento,Senha fraca,14,1654504.97,93.8,67,Crítico,Mitigado
2015,5,2015-05-01,Nordeste,PB,Educação,DDoS,Sem MFA,16,1962094.62,51.6,48,Baixo,Mitigado
2015,5,2015-05-01,Centro-Oeste,DF,Financeiro,Vazamento,Sistema desatualizado,14,1715042.91,50.9,67,Médio,Em análise
2015,5,2015-05-01,Centro-Oeste,GO,Educação,Ransomware,Sem MFA,15,1272053.21,107.1,3,Médio,Em análise
2015,5,2015-05-01,Centro-Oeste,GO,Financeiro,DDoS,Sistema desatualizado,10,827107.95,24.9,35,Médio,Resolvido
2015,5,2015-05-01,Centro-Oeste,MT,Governo,Phishing,Falha humana,19,1375842.57,119.3,57,Alto,Mitigado
2015,5,2015-05-01,Centro-Oeste,MS,Governo,DDoS,Sistema desatualizado,12,1540667.76,4.9,62,Alto,Em análise
2015,5,2015-05-01,Sudeste,SP,Financeiro,Phishing,Sem MFA,8,506524.43,25.8,75,Alto,Em análise
2015,5,2015-05-01,Sudeste,SP,Saúde,Phishing,Sistema desatualizado,10,1559529.99,52.2,39,Médio,Em análise
2015,5,2015-05-01,Sudeste,SP,Varejo,DDoS,Senha fraca,10,1193332.97,70.3,47,Baixo,Mitigado
2015,5,2015-05-01,Sudeste,RJ,Saúde,Phishing,Senha fraca,16,366391.2,110.1,73,Alto,Resolvido
2015,5,2015-05-01,Sudeste,RJ,Varejo,Malware,Sem MFA,13,532446.84,79.9,1,Crítico,Em análise
2015,5,2015-05-01,Sudeste,RJ,Governo,Phishing,Falha humana,11,907714.58,71.5,56,Baixo,Mitigado
2015,5,2015-05-01,Sudeste,RJ,Saúde,Vazamento,Senha fraca,15,1995378.77,99.1,22,Crítico,Resolvido
2015,5,2015-05-01,Sudeste,MG,Varejo,Vazamento,Sem MFA,14,761543.31,32.7,79,Alto,Mitigado
2015,5,2015-05-01,Sudeste,MG,Varejo,Malware,Senha fraca,16,777512.36,110.2,44,Baixo,Mitigado
2015,5,2015-05-01,Sudeste,MG,Financeiro,Phishing,Falha humana,11,1147698.03,55.5,24,Baixo,Mitigado
2015,5,2015-05-01,Sudeste,ES,Saúde,Phishing,Sistema desatualizado,4,653709.51,34.8,10,Médio,Em análise
2015,5,2015-05-01,Sudeste,ES,Varejo,Ransomware,Falha humana,14,994331.52,62.2,47,Crítico,Em análise
2015,5,2015-05-01,Sudeste,ES,Financeiro,DDoS,Sistema desatualizado,9,20111.95,22.8,17,Alto,Mitigado
2015,5,2015-05-01,Sul,PR,Saúde,Ransomware,Senha fraca,6,1086607.45,35.9,65,Médio,Em análise
2015,5,2015-05-01,Sul,PR,Educação,Phishing,Senha fraca,7,1625092.43,105.3,41,Baixo,Em análise
2015,5,2015-05-01,Sul,SC,Financeiro,Phishing,Falha humana,12,973674.91,99.5,59,Alto,Mitigado
2015,5,2015-05-01,Sul,SC,Financeiro,Ransomware,Sem MFA,11,1076480.53,110.4,6,Alto,Resolvido
2015,5,2015-05-01,Sul,RS,Governo,DDoS,Falha humana,8,361713.19,19.4,2,Médio,Em análise
2015,5,2015-05-01,Sul,RS,Varejo,Ransomware,Falha humana,14,1462436.77,41.9,5,Baixo,Resolvido
2015,6,2015-06-01,Norte,AM,Varejo,Vazamento,Senha fraca,18,684114.96,76.4,19,Crítico,Resolvido
2015,6,2015-06-01,Norte,PA,Governo,DDoS,Senha fraca,15,150730.7,98.6,51,Baixo,Mitigado
2015,6,2015-06-01,Norte,PA,Saúde,Ransomware,Sem MFA,12,1964089.58,7.9,50,Alto,Resolvido
2015,6,2015-06-01,Norte,RO,Educação,Phishing,Sistema desatualizado,9,750351.37,62.1,67,Baixo,Mitigado
2015,6,2015-06-01,Norte,TO,Educação,Phishing,Sem MFA,12,1926694.78,61.2,45,Alto,Em análise
2015,6,2015-06-01,Nordeste,BA,Governo,Phishing,Senha fraca,6,1876265.4,47.6,7,Alto,Resolvido
2015,6,2015-06-01,Nordeste,BA,Governo,Phishing,Sistema desatualizado,11,1052909.16,56.3,34,Baixo,Em análise
2015,6,2015-06-01,Nordeste,PE,Educação,Phishing,Falha humana,11,912498.75,80.4,53,Alto,Resolvido
2015,6,2015-06-01,Nordeste,PE,Financeiro,Ransomware,Sistema desatualizado,15,1283044.28,15.3,3,Crítico,Resolvido
2015,6,2015-06-01,Nordeste,CE,Varejo,Phishing,Senha fraca,14,1175822.67,88.0,54,Baixo,Em análise
2015,6,2015-06-01,Nordeste,CE,Governo,Vazamento,Sem MFA,11,971606.9,7.6,18,Alto,Mitigado
2015,6,2015-06-01,Nordeste,MA,Educação,Vazamento,Sistema desatualizado,11,826911.09,119.1,58,Alto,Mitigado
2015,6,2015-06-01,Nordeste,PB,Educação,Phishing,Sistema desatualizado,13,160548.01,109.5,51,Alto,Em análise
2015,6,2015-06-01,Centro-Oeste,DF,Varejo,Vazamento,Falha humana,10,1925004.93,19.9,7,Alto,Mitigado
2015,6,2015-06-01,Centro-Oeste,GO,Saúde,DDoS,Sem MFA,11,454952.8,13.1,66,Baixo,Em análise
2015,6,2015-06-01,Centro-Oeste,GO,Financeiro,Phishing,Senha fraca,13,118417.92,119.3,11,Alto,Mitigado
2015,6,2015-06-01,Centro-Oeste,MT,Educação,Vazamento,Falha humana,16,587081.95,104.4,24,Alto,Em análise
2015,6,2015-06-01,Centro-Oeste,MS,Financeiro,Phishing,Sistema desatualizado,12,135831.8,75.3,72,Médio,Mitigado
2015,6,2015-06-01,Sudeste,SP,Financeiro,DDoS,Senha fraca,8,623872.82,26.6,64,Crítico,Mitigado
2015,6,2015-06-01,Sudeste,SP,Governo,Phishing,Falha humana,12,360174.42,46.4,15,Alto,Em análise
2015,6,2015-06-01,Sudeste,SP,Varejo,Vazamento,Senha fraca,11,1788004.34,36.5,45,Médio,Mitigado
2015,6,2015-06-01,Sudeste,RJ,Saúde,Ransomware,Falha humana,12,754764.18,20.8,37,Alto,Mitigado
2015,6,2015-06-01,Sudeste,RJ,Financeiro,Malware,Falha humana,12,1756086.96,117.0,20,Médio,Resolvido
2015,6,2015-06-01,Sudeste,RJ,Saúde,DDoS,Falha humana,16,1204053.7,41.0,16,Alto,Mitigado
2015,6,2015-06-01,Sudeste,RJ,Educação,Ransomware,Senha fraca,9,693283.65,38.0,58,Médio,Mitigado
2015,6,2015-06-01,Sudeste,MG,Saúde,Malware,Sistema desatualizado,13,1061135.36,57.6,59,Alto,Mitigado
2015,6,2015-06-01,Sudeste,MG,Saúde,DDoS,Sem MFA,15,211450.99,97.5,24,Médio,Resolvido
2015,6,2015-06-01,Sudeste,MG,Saúde,DDoS,Falha humana,10,1760764.35,25.9,62,Alto,Mitigado
2015,6,2015-06-01,Sudeste,ES,Educação,DDoS,Falha humana,12,1897637.71,37.5,31,Médio,Resolvido
2015,6,2015-06-01,Sudeste,ES,Governo,DDoS,Senha fraca,10,130801.48,19.0,27,Baixo,Resolvido
2015,6,2015-06-01,Sudeste,ES,Financeiro,Ransomware,Sem MFA,11,1195277.02,109.7,67,Crítico,Mitigado
2015,6,2015-06-01,Sul,PR,Educação,DDoS,Falha humana,14,1969817.38,93.0,57,Crítico,Mitigado
2015,6,2015-06-01,Sul,PR,Governo,Vazamento,Falha humana,16,203282.47,97.0,64,Médio,Mitigado
2015,6,2015-06-01,Sul,SC,Governo,Malware,Senha fraca,13,697812.69,23.2,63,Baixo,Mitigado
2015,6,2015-06-01,Sul,SC,Saúde,Vazamento,Sem MFA,12,1408479.22,67.3,70,Baixo,Resolvido
2015,6,2015-06-01,Sul,RS,Governo,Malware,Sem MFA,7,1720449.52,4.5,27,Baixo,Resolvido
2015,6,2015-06-01,Sul,RS,Financeiro,Malware,Sem MFA,10,379128.1,42.3,4,Crítico,Em análise
2015,7,2015-07-01,Norte,AM,Financeiro,DDoS,Senha fraca,4,1237581.68,17.4,17,Crítico,Em análise
